Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-06
Horizontal Delay,-4e-06
Sample Interval,8e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.346800e-05,-0.287719
-4.346720e-05,-0.287969
-4.346640e-05,-0.285656
-4.346560e-05,-0.280562
-4.346480e-05,-0.283
-4.346400e-05,-0.283938
-4.346320e-05,-0.276156
-4.346240e-05,-0.277844
-4.346160e-05,-0.276562
-4.346080e-05,-0.280438
-4.346000e-05,-0.284094
-4.345920e-05,-0.281781
-4.345840e-05,-0.284281
-4.345760e-05,-0.285406
-4.345680e-05,-0.284313
-4.345600e-05,-0.289813
-4.345520e-05,-0.291219
-4.345440e-05,-0.286187
-4.345360e-05,-0.2855
-4.345280e-05,-0.282
-4.345200e-05,-0.281469
-4.345120e-05,-0.282125
-4.345040e-05,-0.279031
-4.344960e-05,-0.280531
-4.344880e-05,-0.284656
-4.344800e-05,-0.287281
-4.344720e-05,-0.294187
-4.344640e-05,-0.293094
-4.344560e-05,-0.287969
-4.344480e-05,-0.295313
-4.344400e-05,-0.287406
-4.344320e-05,-0.282062
-4.344240e-05,-0.285344
-4.344160e-05,-0.276
-4.344080e-05,-0.277469
-4.344000e-05,-0.284156
-4.343920e-05,-0.276594
-4.343840e-05,-0.283
-4.343760e-05,-0.289406
-4.343680e-05,-0.292219
-4.343600e-05,-0.291219
-4.343520e-05,-0.290938
-4.343440e-05,-0.289344
-4.343360e-05,-0.288
-4.343280e-05,-0.285062
-4.343200e-05,-0.285625
-4.343120e-05,-0.284156
-4.343040e-05,-0.284062
-4.342960e-05,-0.2835
-4.342880e-05,-0.288031
-4.342800e-05,-0.282031
-4.342720e-05,-0.291094
-4.342640e-05,-0.291813
-4.342560e-05,-0.29525
-4.342480e-05,-0.287438
-4.342400e-05,-0.295375
-4.342320e-05,-0.290094
-4.342240e-05,-0.288125
-4.342160e-05,-0.280187
-4.342080e-05,-0.280906
-4.342000e-05,-0.283313
-4.341920e-05,-0.2825
-4.341840e-05,-0.284062
-4.341760e-05,-0.289375
-4.341680e-05,-0.282594
-4.341600e-05,-0.28575
-4.341520e-05,-0.296625
-4.341440e-05,-0.296563
-4.341360e-05,-0.296875
-4.341280e-05,-0.291344
-4.341200e-05,-0.289813
-4.341120e-05,-0.282438
-4.341040e-05,-0.282594
-4.340960e-05,-0.281594
-4.340880e-05,-0.283938
-4.340800e-05,-0.283438
-4.340720e-05,-0.284281
-4.340640e-05,-0.289594
-4.340560e-05,-0.285719
-4.340480e-05,-0.290938
-4.340400e-05,-0.294406
-4.340320e-05,-0.298469
-4.340240e-05,-0.291344
-4.340160e-05,-0.28425
-4.340080e-05,-0.28775
-4.340000e-05,-0.285844
-4.339920e-05,-0.285406
-4.339840e-05,-0.287375
-4.339760e-05,-0.280813
-4.339680e-05,-0.286156
-4.339600e-05,-0.292813
-4.339520e-05,-0.288156
-4.339440e-05,-0.296594
-4.339360e-05,-0.300938
-4.339280e-05,-0.295719
-4.339200e-05,-0.290906
-4.339120e-05,-0.293219
-4.339040e-05,-0.289906
-4.338960e-05,-0.2885
-4.338880e-05,-0.280875
-4.338800e-05,-0.282656
-4.338720e-05,-0.284281
-4.338640e-05,-0.288187
-4.338560e-05,-0.287125
-4.338480e-05,-0.292219
-4.338400e-05,-0.290031
-4.338320e-05,-0.294938
-4.338240e-05,-0.295813
-4.338160e-05,-0.29725
-4.338080e-05,-0.297406
-4.338000e-05,-0.28925
-4.337920e-05,-0.286625
-4.337840e-05,-0.284938
-4.337760e-05,-0.286969
-4.337680e-05,-0.283187
-4.337600e-05,-0.287344
-4.337520e-05,-0.295969
-4.337440e-05,-0.295063
-4.337360e-05,-0.29675
-4.337280e-05,-0.299719
-4.337200e-05,-0.291719
-4.337120e-05,-0.292625
-4.337040e-05,-0.287844
-4.336960e-05,-0.287625
-4.336880e-05,-0.283938
-4.336800e-05,-0.285219
-4.336720e-05,-0.283187
-4.336640e-05,-0.287438
-4.336560e-05,-0.287594
-4.336480e-05,-0.295094
-4.336400e-05,-0.299
-4.336320e-05,-0.2945
-4.336240e-05,-0.298063
-4.336160e-05,-0.293781
-4.336080e-05,-0.296844
-4.336000e-05,-0.293156
-4.335920e-05,-0.289906
-4.335840e-05,-0.284844
-4.335760e-05,-0.288062
-4.335680e-05,-0.28725
-4.335600e-05,-0.286062
-4.335520e-05,-0.288969
-4.335440e-05,-0.293875
-4.335360e-05,-0.293313
-4.335280e-05,-0.301031
-4.335200e-05,-0.29725
-4.335120e-05,-0.300906
-4.335040e-05,-0.296812
-4.334960e-05,-0.293719
-4.334880e-05,-0.29
-4.334800e-05,-0.284875
-4.334720e-05,-0.288156
-4.334640e-05,-0.281281
-4.334560e-05,-0.281313
-4.334480e-05,-0.287438
-4.334400e-05,-0.290375
-4.334320e-05,-0.3005
-4.334240e-05,-0.301
-4.334160e-05,-0.297063
-4.334080e-05,-0.300375
-4.334000e-05,-0.295156
-4.333920e-05,-0.289656
-4.333840e-05,-0.294656
-4.333760e-05,-0.285719
-4.333680e-05,-0.283781
-4.333600e-05,-0.283844
-4.333520e-05,-0.284687
-4.333440e-05,-0.291438
-4.333360e-05,-0.289594
-4.333280e-05,-0.294781
-4.333200e-05,-0.304156
-4.333120e-05,-0.300031
-4.333040e-05,-0.297063
-4.332960e-05,-0.296156
-4.332880e-05,-0.293719
-4.332800e-05,-0.288813
-4.332720e-05,-0.284562
-4.332640e-05,-0.288844
-4.332560e-05,-0.290625
-4.332480e-05,-0.284656
-4.332400e-05,-0.288469
-4.332320e-05,-0.299281
-4.332240e-05,-0.298563
-4.332160e-05,-0.299312
